"","date","source","kW","TemperatureF","Temp_bin"
"61",2014-01-31,"kW_bills",0.000126521580503273,52.066456903,"(51.8,54.2]"
"62",2014-01-31,"kW_sim",0.000110629802079299,52.066456903,"(51.8,54.2]"
"63",2014-02-01,"kW_bills",0.000136926463823067,47.53995041975,"(47.1,49.5]"
"64",2014-02-01,"kW_sim",0.000112317353983186,47.53995041975,"(47.1,49.5]"
"65",2014-02-02,"kW_bills",0.000155144130708436,47.3254195273333,"(47.1,49.5]"
"66",2014-02-02,"kW_sim",0.000115165609140147,47.3254195273333,"(47.1,49.5]"
"67",2014-02-03,"kW_bills",0.000136471371656346,48.0833333333333,"(47.1,49.5]"
"68",2014-02-03,"kW_sim",0.000109192461883356,48.0833333333333,"(47.1,49.5]"
"69",2014-02-04,"kW_bills",0.00013704183444899,46.3846300529167,"(44.7,47.1]"
"70",2014-02-04,"kW_sim",0.000109707686610476,46.3846300529167,"(44.7,47.1]"
"71",2014-02-05,"kW_bills",0.000135142450668432,46.3600305114583,"(44.7,47.1]"
"72",2014-02-05,"kW_sim",0.000108663029268503,46.3600305114583,"(44.7,47.1]"
"73",2014-02-06,"kW_bills",0.000134888431816073,49.9583333333333,"(49.5,51.8]"
"74",2014-02-06,"kW_sim",0.000107604963842622,49.9583333333333,"(49.5,51.8]"
"75",2014-02-07,"kW_bills",0.000135642981856359,52.52650648325,"(51.8,54.2]"
"76",2014-02-07,"kW_sim",0.000107188040035405,52.52650648325,"(51.8,54.2]"
"77",2014-02-08,"kW_bills",0.000142846354149896,56.5568268500833,"(54.2,56.6]"
"78",2014-02-08,"kW_sim",0.000109619253641764,56.5568268500833,"(54.2,56.6]"
"79",2014-02-09,"kW_bills",0.000147461362280737,58.2865179259167,"(56.6,59]"
"80",2014-02-09,"kW_sim",0.000108911382455207,58.2865179259167,"(56.6,59]"
"81",2014-02-10,"kW_bills",0.000122141964419457,55.8521167054583,"(54.2,56.6]"
"82",2014-02-10,"kW_sim",0.000106142203269505,55.8521167054583,"(54.2,56.6]"
"83",2014-02-11,"kW_bills",0.000123174192939759,52.9264874144583,"(51.8,54.2]"
"84",2014-02-11,"kW_sim",0.000106505270944314,52.9264874144583,"(51.8,54.2]"
"85",2014-02-12,"kW_bills",0.000122697232590144,53.497425629625,"(51.8,54.2]"
"86",2014-02-12,"kW_sim",0.000105517036680781,53.497425629625,"(51.8,54.2]"
"87",2014-02-13,"kW_bills",0.000118460433852741,56.2997711675417,"(54.2,56.6]"
"88",2014-02-13,"kW_sim",0.000104536966939727,56.2997711675417,"(54.2,56.6]"
